"date","BCPBAB","BGVDEL","BGVFED","BGVFID","BGVLAB","BGVVAL","BHYAIM","BHYCOL","BINLOO","BMGLEX","BMMVAN","MBLAIM","MBLALL","MBLAMB","MBLCOM","MBLD.C","MBLEAV","MBLFID","MTRCAL","MTRPIL","MTRPUT","SAGAIM","SAGPUT","SAGVAL","SEIAMN","SEIFID","SEIOPP","SEISCO","SEIUNI","SGRMAT","SGRPHX","SGRSEL","SGRSEQ","SGRVAN","SINFID","SINSCD","SINTMP","SINTRP","SINUNI","SMKDFA","SMKVAN","SSS20C","SSSACN","SSSTRP","SSSVAN","S.P.500","CRSP.VW","CRSP.EW","CRSP.SC","TBILL","CORP.BD","GOVT.BD","MTG.BD","HIYLD.BD","FFMKT","FFSMB","FFHML"
199212,1.3,1.081,1.232,1.882,2.135,1.65,1.499,1.176,0.43,1.357,0.26,3.006,1.111,1.644,2.129,1.661,1.727,0.743,1.692,-0.396,2.059,4.045,3.257,4.301,0.021,2.471,1.969,1.929,0.81,3.779,0.975,1.536,1.819,-0.072,1.106,0.889,1.536,0.861,2.099,4.412,1.212,5.465,4.142,3.702,1.331,1.338,1.487,2.817,3.497,0.227,1.709,2.24,1.216,1.189,1.75,1.67,2.67
199301,1.84,1.472,1.787,2.369,1.716,1.814,2.832,2.577,0.19,1.607,0.26,3.026,2.148,0.896,0.867,2.074,0.271,2.197,0.402,-0.827,2.58,2.882,-0.095,1.912,-0.951,2.964,2.68,2.182,1.179,0.155,0,-0.497,0.794,-0.521,0.917,0,1.737,-0.45,-0.305,5.435,0.805,2.79,4.303,1.159,1.62,0.728,0.928,3.68,5.273,0.234,2.405,2.784,1.378,2.438,1.06,2.12,5.56
199302,2.433,0.949,1.224,2.451,1.673,1.162,1.624,1.764,2.13,0.97,0.23,-3.005,0.29,1.953,1.375,2.862,1.912,2.707,0.667,1.956,0.482,-6.059,-3.14,-8.881,0.823,2.41,1.879,1.898,0.403,0.154,0.143,-3.661,-1.881,-3.665,2.725,3.553,2.307,2.373,0.459,-1.804,1.356,-7.59,-0.277,-6.747,-4.018,1.353,1.285,0.949,1.143,0.221,2.164,2.668,0.923,1.891,0.68,-3.06,5.93
199303,-0.012,0.28,0.314,0.531,0.341,0.613,2.026,1.906,2.46,0.583,0.25,3.626,1.742,1.282,1.781,1.524,1.208,3.189,1.174,1.918,3.361,4.369,3.143,1.579,2.044,3.289,2.153,3.388,2.815,5.855,1.431,3.8,3.123,1.223,7.443,4.663,3.969,5.519,7.763,2.887,2.107,5.156,5.406,3.208,2.339,2.123,2.402,3.102,2.524,0.254,0.434,0.529,0.598,1.553,2.48,0.67,0.75
199304,1.199,0.469,0.853,0.989,0.672,0.929,0.875,1.128,3.06,0.357,0.24,-1.093,-1.646,0.316,-0.841,0.848,-0.663,3.191,-1.452,-0.655,-0.156,-3.588,-5.048,-3.581,-0.537,-0.192,-0.406,-1.366,-0.174,-0.873,-3.01,-6.156,-0.704,-4.43,5.556,4.763,3.254,5.544,3.672,-3.061,-2.424,-1.767,-2.507,-4.563,-3.793,-2.452,-2.33,-1.599,-1.202,0.237,0.778,0.78,0.675,0.77,-2.8,-0.72,2.79
199305,-0.012,0.075,-0.361,-0.399,0.012,0.23,1.389,1.724,0.64,0.837,0.24,3.384,1.528,1.194,1.018,2.014,0.334,1.62,1.072,2.059,2.09,7.512,8.124,8.549,0.99,1.791,1.529,1.327,2.315,3.524,1.309,4.255,4.592,1.756,2.339,1.845,2.353,1.685,1.09,3.421,2.653,11.666,8.237,8.316,4.584,2.64,2.443,2.614,2.844,0.217,0.064,-0.058,0.458,1.378,3,1.6,-2.91
199306,1.795,0.757,1.109,2.462,2.342,1.698,2.405,2.157,-3.336,1.059,0.24,2.522,1.373,0.789,0.343,1.253,1.653,0.079,0.62,-2.744,0.673,1.603,0.742,2.13,0.286,1.208,1.723,0.518,0.433,0.567,0.249,-1.018,3.262,0.483,-1.333,-1.841,-1.232,-2.144,-3.238,-0.382,0.267,3.95,1.141,2.943,0.659,0.347,0.523,0.394,0.358,0.276,2.344,3.208,0.973,2.231,0.44,-0.31,1.42
199307,0.577,0.169,0.164,0.64,0.341,0.765,1.094,0.808,-1.12,0.698,0.25,-0.524,0.071,0.391,0.169,0.216,0.542,1.318,0.498,0.249,0.926,-0.82,1.473,1.391,-0.224,1.565,0.999,-0.516,0.47,3.385,-0.048,-0.688,-0.033,-1.03,3.282,3.187,2.328,3.287,4.749,1.66,-0.424,-0.85,-0.508,0.062,0.948,-0.466,-0.127,0.943,1.924,0.24,0.707,0.444,0.415,0.98,-0.23,1.29,2.38
199308,2.351,0.583,1.283,2.786,1.981,2.05,0.49,0.661,5.31,0.216,0.25,5.135,2.918,3.224,3.122,3.302,4.065,3.396,2.939,4.201,2.958,4.644,5.717,3.865,4.529,3.328,2.572,3.283,2.89,2.729,2.07,5.546,4.309,2.082,5.296,6.203,6.458,7.04,9.733,3.392,3.785,8.119,6.6,6.46,4.627,3.748,3.711,3.638,2.766,0.253,2.349,2.507,0.411,1.082,3.9,0.06,-0.85
199309,-0.047,-0.121,0.337,0.394,0.012,0.072,0.09,0.368,2.25,0.088,0.24,2.986,0.28,-0.611,-0.286,-0.39,1.178,-0.958,-0.242,-0.583,0.108,3.465,1.803,5.222,-0.669,-0.143,0.006,0.279,-0.328,1.594,0.472,3.941,-2.279,-0.408,-0.651,0.862,-0.801,0.09,-0.851,3.159,-0.794,2.845,2.92,4.959,3.632,-0.766,-0.447,0.594,1.041,0.236,0.433,0.799,0.086,0.243,0.01,3.33,-1.21
199310,0.565,0.27,0.159,0.519,0.349,0.529,2.204,2.734,1.76,0.341,0.24,1.026,1.042,0.769,1.242,0.783,0.517,0.665,0.616,2.347,2.053,0.118,3.963,1.312,2.303,1.716,0.195,1.743,3.038,5.359,1.08,0,0.373,2.253,2.799,3.591,5.453,5.671,8.456,4.711,2.079,-1.995,3.806,3.057,1.773,1.997,1.66,2.299,3.274,0.221,0.415,0.406,0.335,1.943,1.5,1.91,-0.85
199311,-1.212,-0.058,-0.315,-1.419,-1.295,-0.827,0.689,1.087,-0.96,-0.019,0.24,-2.964,-1.512,-0.686,-1.39,-0.714,-2.532,-1.762,-2.224,-1.147,-0.834,-1.819,-3.569,-3.885,-0.807,-1.598,-1.363,-1.215,-0.767,-2.233,-1.115,-2.686,0.387,-0.067,-3.476,-4.057,-1.681,-4.003,-3.164,-1.753,-0.995,-5.09,-3.776,-2.589,-2.127,-0.868,-1.404,-2.161,-3.396,0.248,-1.127,-1.797,-0.176,0.545,-1.46,-1.19,0.85
